id,material,name,images,bag_type,print,sizes,gsms,colours,shop_types,badges,rate_per_kg,min_order_kg,pcs_per_kg,note
digital-bopp,Non Woven Bag,BOPP Laminated Digital Bags,digital-3.jpeg|untitled-5.1-copy-594x594.jpg,Digital Laminated,Printed,12x16|14x16|14x18|16x18|16x19 (Stick Bag),110,White,Womens wear|Mens Wear|Family wear|Kids Wear|Textiles|School|Function|Kirana Store|Super Market|Real Estate,New|Premium|Bestseller,,,,"BOPP film laminated over a full colour digital print. The film protects the ink and wipes clean, which is why these get reused for months."
digital-bopp-handle,Non Woven Bag,BOPP Laminated Digital Handle Bag,digital-1.jpg|6.jpg|untitled-5.1-copy-594x594.jpg,Digital Laminated,Printed,15x17,110,White,Womens wear|Mens Wear|Family wear|Kids Wear|Textiles|School|Function|Kirana Store|Super Market|Real Estate,New|Premium|Bestseller,,,,BOPP laminated digital print with a sewn loop handle — the most premium bag we make. Wedding season and jewellery showroom orders mostly go out in this.
hm-plastic-dcut,Plastic Cover,HM Plastic D-Cut Covers,,D-Cut,Printed,9x11|10x14|12x18|14x18|16x18 ,70,White,Womens wear|Mens Wear|Family wear|Kids Wear|Textiles,Bestseller|Budget Friendly,,,,"HM plastic carry cover with a punched D-cut handle, printed to your design."
ld-plastic-dcut,Plastic Cover,LD Plastic D-Cut Covers,,D-Cut,Printed,10x14|12x18|14x18|16x18 ,70|90,White,Womens wear|Mens Wear|Family wear|Kids Wear|Textiles,Bestseller|Premium,,,,LD plastic carry cover — softer and clearer than HM — with a punched D-cut handle.
plastic-ucut,Plastic Cover,U-Cut Covers,,U-Cut,Printed,10x14|13x16|16x20|16x22|20x26,55,White,Hotel|Bakery|Kirana Store|Wine Shop|Super Market|Medical Shops,High Capacity,,,,"U-cut plastic cover, gusseted so it opens wide and stands on the counter. Sized for hotel, bakery and kirana counters."
ucut,Non Woven Bag,Non Woven U-CUT Bags,untitled-2.1-copy-594x594.jpg,U-Cut,Printed,10x14|13x16|16x20|20x20,60,White,Hotel|Bakery|Kirana Store|Wine Shop|Super Market|Medical Shops,High Capacity,,,,"Non woven U-cut bag in the gusseted vest shape. Opens wide, stands on the counter and is the cheapest per piece of anything we make."
bio-ucut,Bio-degradable Cover,Bio Degradable U-CUT Covers,,U-Cut,Printed,10x14|13x16|16x20|16x22|20x26,60,White,Hotel|Bakery|Kirana Store|Wine Shop|Super Market|Medical Shops,Eco Friendly|High Capacity,,,,"Bio-degradable U-cut cover, a compostable replacement for the plastic version in the same sizes."
misprint-nw,Non Woven Bag,Misprint Bags,img-1891.jpg,Misprints,,,,Mixed,,,,,,"Overruns and misprints from earlier jobs, sold by weight in assorted sizes and prints. The cheapest way to stock up when the print on the bag does not matter."
misprint-plastic,Plastic Cover,Misprint Covers,,Misprints,,,,Mixed,,,,,,"Overrun and misprinted plastic covers, sold by weight in assorted sizes and prints."
dcut-plain,Non Woven Bag,Plain D-Cut Bags,untitled-3-copy-712x712.jpg,D-Cut,Plain,9x11|10x14|12x18|14x18|16x18 ,80,White|Red|Reliance Green|Ivory,Womens wear|Mens Wear|Family wear|Kids Wear|Textiles|Footwear|Function|Mobile Shop|Ladies Corner|Tailors|Medical Shops,,,,,"Plain 80 GSM D-cut bag with no printing, stocked in white and a range of fabric colours for immediate dispatch."
handle-plain,Non Woven Bag,Plain Handle Bags,,Handle,Plain,12x16|12x18|14x18|16x18 ,80,White|Red|Reliance Green|Ivory,Womens wear|Mens Wear|Family wear|Kids Wear|Textiles|Footwear|Jewellery|Mobile Shop|Ladies Corner|Tailors,,,,,Plain loop handle bag with no printing. Handle colour can be matched to your brand.
stitching-plain,Non Woven Bag,Plain Stitching Bags,,Stitching,Plain,12x16|14x16|14x18|16x18|16x19 (Stick Bag),110,White|Red|Reliance Green|Ivory,Womens wear|Mens Wear|Family wear|Kids Wear|Textiles|Kirana Store,,,,,"Plain stitched bag with a side patty, no printing."
hm-plastic-dcut-plain,Plastic Cover,Plain HM D-Cut Covers,,D-Cut,Plain,9x11|10x14|12x18|14x18|16x18 ,70,White,Womens wear|Mens Wear|Family wear|Kids Wear|Textiles,,,,,"Plain HM plastic cover with a punched D-cut handle, no printing."
ld-plastic-dcut-plain,Plastic Cover,Plain LD D-Cut Covers,,D-Cut,Plain,10x14|12x18|14x18|16x18 ,70|90,White,Womens wear|Mens Wear|Family wear|Kids Wear|Textiles,,,,,"Plain LD plastic cover with a punched D-cut handle, no printing."
plastic-ucut-plain,Plastic Cover,Plain U-Cut Covers,,U-Cut,Plain,10x14|13x16|16x20|16x22|20x26,55,White,Hotel|Bakery|Kirana Store|Wine Shop|Super Market|Medical Shops,,,,,"Plain U-cut plastic cover, no printing."
ucut-plain,Non Woven Bag,Plain Non Woven U-CUT Bags,untitled-2.1-copy-594x594.jpg,U-Cut,Plain,10x14|13x16|16x20|20x20,60,White,Hotel|Bakery|Kirana Store|Wine Shop|Super Market|Medical Shops,,,,,"Plain non woven U-cut bag, no printing. Gusseted vest shape, stocked for immediate dispatch."
